goal,exam,testId,subject,testTile,duration,testDescription,bgThumbnail,embiums,mergeName
CBSE,6th CBSE,1899,Mathematics,Mathematics Paper - 4,180,Mathematics Test 4 has questions based on 6th Grade CBSE syllabus covering all the chapters. The chapter wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1ZCnwqgLnJ3snPYmN5wYGJ58xQDgSZf2C/view?usp=drivesdk,,1_1899_6th CBSE_Mathematics Paper - 4_HB
CBSE,6th CBSE,1900,Mathematics,Mathematics Paper - 5,180,Mathematics Test 5 has questions based on 6th Grade CBSE syllabus covering all the chapters. The chapter wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1zeBpQ2waZAtXrvxVwuRHU6ERcBKCEAr0/view?usp=drivesdk,,2_1900_6th CBSE_Mathematics Paper - 5_HB
CBSE,6th CBSE,1901,Science,Science Paper - 1,180,Science Test 1 has questions based on 6th Grade CBSE syllabus covering all the chapters. The chapter wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/11usAwK1vrq_GdK9dQXNpfdk1ku5MuF74/view?usp=drivesdk,,3_1901_6th CBSE_Science Paper - 1_HB
CBSE,6th CBSE,1902,Science,Science Paper - 2,180,Science Test 2 has questions based on 6th Grade CBSE syllabus covering all the chapters. The chapter wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1DgHqZVwiBwoq4LDHH298aehJBuOUxIkH/view?usp=drivesdk,,4_1902_6th CBSE_Science Paper - 2_HB
CBSE,7th CBSE,2358,Mathematics,Mathematics Paper - 4,180,Mathematics Test 4 has questions based on 7th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/12RkRckyS4bu7UzHCtyXdqPmKJxOpdO77/view?usp=sharing,,5_2358_7th CBSE_Mathematics Paper - 4_HB
CBSE,7th CBSE,2359,Mathematics,Mathematics Paper - 5,180,Mathematics Test 5 has questions based on 7th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1pTXFo9lSOZ9M4aJ5A67bY92Lij4FGC83/view?usp=drivesdk,,6_2359_7th CBSE_Mathematics Paper - 5_HB
CBSE,7th CBSE,2350,Science,Science Paper - 1,180,Science Test 1 has questions based on 7th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1VZgoXRX-U0wlPfmhJaZSRb-JXbVCR4IO/view?usp=sharing,,7_2350_7th CBSE_Science Paper - 1_HB
CBSE,7th CBSE,2351,Science,Science Paper - 2,180,Science Test 2 has questions based on 7th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/11NDt0J23g17ZEsOdFm9MU9OeTI7o5Dcj/view?usp=drivesdk,,8_2351_7th CBSE_Science Paper - 2_HB
CBSE,8th CBSE,2363,Mathematics,Mathematics Paper - 4,180,Mathematics Test 4 has questions based on 8th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1tvzoQ0FR7tPdiEUZq9mO0LXHv8NUdGRI/view?usp=sharing,,9_2363_8th CBSE_Mathematics Paper - 4_HB
CBSE,8th CBSE,2364,Mathematics,Mathematics Paper - 5,180,Mathematics Test 5 has questions based on 8th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1Q2agDO_3od6j7LlpmRo8g3rL1IitticJ/view?usp=drivesdk,,10_2364_8th CBSE_Mathematics Paper - 5_HB
CBSE,8th CBSE,2365,Science,Science Paper - 1,180,Science Test 1 has questions based on 8th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1i0b-3XdjsN3iAMT8O--sVI0oITQGB9Sj/view?usp=sharing,,11_2365_8th CBSE_Science Paper - 1_HB
CBSE,8th CBSE,2366,Science,Science Paper - 2,180,Science Test 2 has questions based on 8th Grade CBSE syllabus covering all the chapters. The chapter-wise weightage is based on CBSE guidelines.,https://drive.google.com/file/d/1Dxq529nKSwAbZLuQeAaNTqdGDrJnSphr/view?usp=drivesdk,,12_2366_8th CBSE_Science Paper - 2_HB
